date,region,total_sales,active_users,new_customers,marketing_spend,website_traffic,conversion_rate,customer_satisfaction,date_year,date_month,date_day,date_weekday
2023-01-01,0,0.14065925476885058,0.1300239952009598,0.06851549755301795,0.08655205521826237,0.07863289958007154,0.5579710144927537,0.8274809160305345,2023,1,1,6
2023-01-01,1,0.14650960291191223,0.29934013197360526,0.2642740619902121,0.04021981477984949,0.08852195551868941,0.46376811594202894,0.8412213740458014,2023,1,1,6
2023-01-01,2,0.18935565543481683,0.21130773845230955,0.09298531810766722,0.15482956061721687,0.23263258852195554,0.5615942028985508,0.8173027989821877,2023,1,1,6
2023-01-01,3,0.06102318907238199,0.136622675464907,0.04730831973898859,0.08827386687954492,0.15231479081341698,0.677536231884058,0.7338422391857504,2023,1,1,6
2023-01-02,0,0.3431832712502006,0.3515296940611877,0.2838499184339315,0.17833336298477964,0.17706983254704753,0.4057971014492754,0.7297709923664124,2023,1,2,0
2023-01-02,1,0.19868456291929046,0.3635272945410918,0.12887438825448616,0.18677541669368772,0.19155995645186374,0.3876811594202899,0.8427480916030534,2023,1,2,0
2023-01-02,2,0.1355508903438481,0.22165566886622673,0.1533442088091354,0.17987428169371356,0.16482191922857586,0.5724637681159421,0.6758269720101779,2023,1,2,0
2023-01-02,3,0.05962231517959093,0.16286742651469704,0.10277324632952692,0.34830042692343666,0.22773342319456683,0.7898550724637682,0.7435114503816793,2023,1,2,0
2023-01-03,0,0.16937339259182518,0.27954409118176365,0.19575856443719414,0.13800892642443158,0.17223547099383069,0.7137681159420289,0.5826972010178118,2023,1,3,1
2023-01-03,1,0.3648957759921402,0.21940611877624472,0.12561174551386625,0.18644542479140205,0.15900254030794753,0.6811594202898551,0.8162849872773537,2023,1,3,1
2023-01-03,2,0.2474852930016698,0.1973605278944211,0.21859706362153347,0.16509121837027615,0.11809839805070246,0.32971014492753625,0.6529262086513992,2023,1,3,1
2023-01-03,3,0.1724133598538941,0.3699760047990402,0.07504078303425776,0.1229475221051532,0.117113380683291,0.8804347826086957,0.7063613231552166,2023,1,3,1
2023-01-04,0,0.1835927944639967,0.31058788242351526,0.08972267536704731,0.1539627436272825,0.12120897921094925,0.7282608695652174,0.6977099236641218,2023,1,4,2
2023-01-04,1,0.1438054013963492,0.26949610077984404,0.2071778140293638,0.13283981848723678,0.20104722899061642,0.8695652173913043,0.7348600508905854,2023,1,4,2
2023-01-04,2,0.13914326009038308,0.36877624475104975,0.19902120717781405,0.15893787371582932,0.17985639483643528,0.7934782608695653,0.6875318066157758,2023,1,4,2
2023-01-04,3,0.20777328535644715,0.2456508698260348,0.34910277324632955,0.09590597698550388,0.05298356576287003,0.753623188405797,0.7063613231552166,2023,1,4,2
2023-01-05,0,0.2808300844567245,0.2579484103179364,0.10603588907014683,0.12304910222116114,0.2120768313546581,0.5,0.8005089058524169,2023,1,5,3
2023-01-05,1,0.20663498860219434,0.10407918416316736,0.11419249592169659,0.09020199521712607,0.14335890922287314,0.8949275362318841,0.6870229007633588,2023,1,5,3
2023-01-05,2,0.31156841336925784,0.16316736652669467,0.10114192495921698,0.288555823438837,0.28832495204520714,0.4782608695652174,0.5923664122137406,2023,1,5,3
2023-01-05,3,0.10843144711375385,0.17411517696460704,0.06199021207177815,0.1903450682279779,0.16873606718855305,0.8007246376811595,0.5567430025445299,2023,1,5,3
2023-01-06,0,0.1473367228253377,0.1910617876424715,0.2446982055464927,0.21793239125905975,0.14969671833687595,0.7137681159420289,0.5918575063613227,2023,1,6,4
2023-01-06,1,0.20474896557981007,0.43461307738452304,0.4420880913539968,0.15773842488839102,0.15911918710145678,0.6268115942028986,0.7572519083969471,2023,1,6,4
2023-01-06,2,0.12454739359334133,0.28419316136772643,0.19575856443719414,0.20541737662750567,0.16661050339571776,0.4347826086956522,0.7486005089058523,2023,1,6,4
2023-01-06,3,0.07991213204658587,0.18491301739652066,0.14681892332789562,0.3538597861537693,0.22125304577738605,0.8623188405797103,0.6076335877862595,2023,1,6,4
2023-01-07,0,0.1275809631150613,0.18941211757648468,0.08809135399673737,0.04131332185918011,0.15777126859868318,0.8550724637681161,0.7073791348600507,2023,1,7,5
2023-01-07,1,0.2678659500734989,0.04874025194961007,0.09951060358890704,0.1379304170466356,0.25624708383016226,0.5905797101449276,0.5969465648854957,2023,1,7,5
2023-01-07,2,0.2472796017953909,0.2595980803839232,0.052202283849918436,0.06397969086358593,0.12161076261081447,0.8152173913043478,0.7867684478371499,2023,1,7,5
2023-01-07,3,0.033520035583769335,0.10827834433113376,0.02610114192495922,0.09469550929802403,0.0960780755871222,0.7137681159420289,0.4376590330788801,2023,1,7,5
2023-01-08,0,0.15512759040556315,0.1214757048590282,0.2169657422512235,0.07615168608645098,0.08821089740266473,0.8405797101449274,0.7363867684478373,2023,1,8,6
2023-01-08,1,0.1207433588468281,0.4425614877024595,0.1435562805872757,0.0529220926422136,0.13472704650318834,0.7717391304347826,0.7068702290076336,2023,1,8,6
2023-01-08,2,0.09046135069171327,0.07198560287942413,0.03099510603588907,0.04513657934411384,0.07462802633625382,0.608695652173913,0.780152671755725,2023,1,8,6
2023-01-08,3,0.11421789493453513,0.11697660467906418,0.02610114192495922,0.16782469911912248,0.07885323241225568,0.5108695652173914,0.7119592875318066,2023,1,8,6
2023-01-09,0,0.2303393103259028,0.34958008398320334,0.13866231647634586,0.07927323731238528,0.17412774119964747,0.6884057971014493,0.7226463104325704,2023,1,9,0
2023-01-09,1,0.1128541356438888,0.3465806838632273,0.14518760195758565,0.1590738877694671,0.15428482554823994,0.8659420289855072,0.49669211195928753,2023,1,9,0
2023-01-09,2,0.10294715763234427,0.27309538092381525,0.1076672104404568,0.254345706403622,0.14030017108196383,0.41666666666666663,0.4768447837150127,2023,1,9,0
